"Tag name","Element name","Description","May contain","May occur in","Attributes","Allowable values","Repeatable?","Mandatory?","Example"
"<image_filename>","image_filename","The path (absolute or relative) to the input file. Note some utilities operate on device files, some on image files, some on other DFXML files.","(mirrors type xs:string)","""source""","",,"yes","no",""
"<inblock>","inblock","","(mirrors type xs:integer)","","",,"no","yes",""
"<inode>","inode","The inode number (st_ino from the stat(2) system call). File systems that do not have an ""Inode"" may use an alternative, distinct identifier. In The SleuthKit, FAT ""Inode"" numbers are calculated from the directory entry's block address; NTFS's ""Inode"" numbers are the MFT entry address.","(mirrors type xs:nonNegativeInteger)","""fileobject"",""parent_object""","",,"no","no",""
"<last_block>","last_block","The address of the last block of the file system, relative to the beginning of the partition, in bytes. As reported by file system, after to-byte conversion. Not guaranteed to be in image (for instance, in an incomplete disk image).","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<libmagic>","libmagic","The result of running libmagic to identify the file type.","(mirrors type xs:string)","""fileobject""","",,"no","no",""
"<library>","library","","","""build_environment"",""creator""","""name"",""version""",,"yes","no",""
"<link_target>","link_target","The file to which a soft link refers.","(mirrors type xs:string)","""fileobject""","",,"no","no",""
"<majflt>","majflt","","(mirrors type xs:integer)","","",,"no","yes",""
"<maxrss>","maxrss","","(mirrors type xs:integer)","","",,"no","yes",""
"<meta_type>","meta_type","A numeric encoding of the general file type - regular, directory, soft link, etc. Numeric values are particular to The SleuthKit; the name_type element renders the values to short string representations.","(mirrors type xs:nonNegativeInteger)","""fileobject""","",,"no","no",""
"<metadata>","metadata","","","""dfxml""","",,"no","yes",""
"<minflt>","minflt","","(mirrors type xs:integer)","","",,"no","yes",""
"<mode>","mode","File opening mode. This is the inode mode in POSIX file systems, and an encoding of various NTFS file attributes when created by The SleuthKit libraries.","(mirrors type xs:nonNegativeInteger)","""fileobject""","",,"no","no",""
"<mtime>","mtime","The time the file data were last modified.","","""fileobject""","""prec""",,"no","no",""
"<name_type>","name_type","A string representation of the general file type - regular, directory, soft link, etc.",,"""fileobject""",,"""-"",""b"",""c"",""d"",""h"",""l"",""p"",""r"",""s"",""v"",""w""","no","no",""
"<nlink>","nlink","The number of hard links to this file's inode.","(mirrors type xs:nonNegativeInteger)","""fileobject""","",,"no","no",""
"<nswap>","nswap","","(mirrors type xs:integer)","","",,"no","yes",""
"<orphan>","orphan","A file lacking a referencing metadata structure.","","""fileobject""","",,"no","no",""
"<os_release>","os_release","The operating system release (reported by uname -r).","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<os_sysname>","os_sysname","The operating system name (reported by uname -s).","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<os_version>","os_version","The operating system version (reported by uname -v).","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<oublock>","oublock","","(mirrors type xs:integer)","","",,"no","yes",""
"<parent_object>","parent_object","","""inode""","""fileobject""","",,"no","no",""
"<partition>","partition","The partition in which the file resides. 1-based counter of the partition order.","(mirrors type xs:positiveInteger)","""fileobject""","",,"no","no",""
"<partition_offset>","partition_offset","The offset of the partition from the beginning of the image file, in bytes.","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<program>","program","The name of the XML-generating program.","(mirrors type xs:string)","""creator""","",,"no","no",""
"<rusage>","rusage","This element encodes a ""rusage"" C structure, as provided by the ""getrusage"" function after the file walk is complete. In addition to the ""rusage"" fields, the element may include an element for elapsed wall clock time in seconds.","""clocktime"",""inblock"",""majflt"",""maxrss"",""minflt"",""nswap"",""oublock"",""stime"",""utime""","""dfxml""","",,"no","no",""
"<sector_size>","sector_size","The size of a disk sector in this volume. Note that this is not necessarily the same unit as the volume will use for its blocks (see block_size element).","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<seq>","seq","The NTFS sequence number.","(mirrors type xs:nonNegativeInteger)","""fileobject""","",,"no","no",""
"<source>","source","","""image_filename""","""dfxml""","",,"no","no",""
"<start_time>","start_time","The date and time that the program was executed.","(mirrors type xs:dateTime)","""execution_environment""","",,"no","no",""
"<stime>","stime","","(mirrors type xs:float)","","",,"no","yes",""
"<uid>","uid","The numerical user id.","(mirrors type xs:nonNegativeInteger)","""execution_environment"",""fileobject""","",,"no","no",""
"<unalloc>","unalloc","""1"" implies the file was found marked unallocated.","","""fileobject""","",,"no","no",""
"<unused>","unused","This file's metadata structure has never been used (had an attribute populated), or possibly never been allocated.","","""fileobject""","",,"no","no",""
"<used>","used","This file's metadata structure has at least one attribute populated.","","""fileobject""","",,"no","no",""
"<username>","username","The username under which the program was executed.","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<utime>","utime","","(mirrors type xs:float)","","",,"no","yes",""
"<version>","version","The version of the XML-generating program.",,"""creator""",,,"no","no",""
"<volume>","volume","A mass storage system volume, which is defined as a collection of byte blocks that are all the same size.","""allocated_only"",""block_count"",""block_size"",""byte_runs"",""fileobject"",""first_block"",""ftype"",""ftype_str"",""last_block"",""partition_offset"",""sector_size""","""dfxml""","""offset""",,"yes","no",""
